lat,lon,temp,precip,lcclass,STATEFP,STATENS,AFFGEOID,GEOID,STUSPS,NAME,LSAD,ALAND,AWATER
70.3333,-151.5,-10.186,13.9519,"7","02","01785533",0400000US02,"02",AK,Alaska,"00",1477849359548,245487700921
70.3333,-151,-10.0446,13.6181,"10","02","01785533",0400000US02,"02",AK,Alaska,"00",1477849359548,245487700921
70.3333,-150.5,-10.1029,13.2256,"7","02","01785533",0400000US02,"02",AK,Alaska,"00",1477849359548,245487700921
70.3333,-150,-10.1788,12.7411,"7","02","01785533",0400000US02,"02",AK,Alaska,"00",1477849359548,245487700921
70.3333,-149.5,-10.1374,12.2151,"10","02","01785533",0400000US02,"02",AK,Alaska,"00",1477849359548,245487700921
70.3333,-149,-10.196,11.7224,"10","02","01785533",0400000US02,"02",AK,Alaska,"00",1477849359548,245487700921
70.3333,-148.5,-10.2964,11.2299,"10","02","01785533",0400000US02,"02",AK,Alaska,"00",1477849359548,245487700921
70.1667,-162,-9.88316,13.5419,"10","02","01785533",0400000US02,"02",AK,Alaska,"00",1477849359548,245487700921
70.1667,-161.5,-10.0665,13.4657,"10","02","01785533",0400000US02,"02",AK,Alaska,"00",1477849359548,245487700921
70.1667,-161,-10.1503,13.3563,"7","02","01785533",0400000US02,"02",AK,Alaska,"00",1477849359548,245487700921
70.1667,-160.5,-10.2336,13.2305,"7","02","01785533",0400000US02,"02",AK,Alaska,"00",1477849359548,245487700921
70.1667,-160,-10.3426,13.1953,"7","02","01785533",0400000US02,"02",AK,Alaska,"00",1477849359548,245487700921
70.1667,-159.5,-10.4265,13.1101,"10","02","01785533",0400000US02,"02",AK,Alaska,"00",1477849359548,245487700921
70.1667,-159,-10.6101,13.1005,"0","02","01785533",0400000US02,"02",AK,Alaska,"00",1477849359548,245487700921
70.1667,-158.5,-10.7772,13.132,"7","02","01785533",0400000US02,"02",AK,Alaska,"00",1477849359548,245487700921
70.1667,-158,-10.9189,13.139,"7","02","01785533",0400000US02,"02",AK,Alaska,"00",1477849359548,245487700921
70.1667,-157.5,-10.9943,13.1712,"10","02","01785533",0400000US02,"02",AK,Alaska,"00",1477849359548,245487700921
70.1667,-157,-11.0018,13.2205,"10","02","01785533",0400000US02,"02",AK,Alaska,"00",1477849359548,245487700921
70.1667,-156.5,-11.0263,13.3368,"7","02","01785533",0400000US02,"02",AK,Alaska,"00",1477849359548,245487700921
